charge_pump_ua,loop_bw_khz,phase_margin_deg,vco_gain_mhz_v,ref_freq_mhz,lock_time_us
187.9,300.9,55.7,295.3,34.7,5.0
169.9,88.1,31.4,521.2,98.5,25.12
472.7,100.8,57.5,741.5,96.5,87.83
496.5,128.0,74.4,340.7,19.2,108.34
404.2,118.5,48.8,527.5,15.3,52.71
73.3,134.8,71.7,657.3,82.6,41.94
456.3,81.5,64.4,171.4,10.4,85.04
187.3,191.5,63.3,336.4,26.8,5.0
106.6,293.9,46.2,125.7,66.1,16.97
299.6,348.6,61.9,142.2,78.5,16.37
76.2,267.7,69.2,417.3,74.8,32.08
362.1,241.3,62.5,319.4,88.9,30.7
87.3,449.4,52.2,404.9,90.6,16.61
123.7,308.1,67.8,302.9,60.6,5.17
497.0,107.9,33.2,106.0,85.0,113.49
109.3,437.3,62.6,602.5,93.2,15.48
71.8,11.8,51.5,640.1,31.6,95.89
263.3,52.1,50.4,630.4,49.6,23.91
227.1,345.0,68.6,144.8,61.6,9.41
452.1,458.1,59.4,560.7,11.5,67.41
226.2,460.7,72.4,786.9,23.2,6.58
478.9,276.2,76.4,106.1,58.1,94.69
97.1,112.8,52.7,456.6,49.1,16.51
478.7,151.4,36.6,263.7,45.6,95.03
369.2,60.4,59.0,533.7,46.7,41.12
381.6,241.2,30.5,752.0,58.5,49.65
430.9,265.4,45.2,407.9,36.9,58.0
333.9,157.8,44.6,593.6,42.7,26.8
331.1,382.4,51.6,373.6,74.1,24.99
482.5,494.0,69.1,318.6,87.4,91.34
469.7,382.0,65.2,602.9,61.0,73.94
151.3,395.4,49.9,432.1,91.1,8.97
65.2,168.7,48.8,747.3,92.4,25.02
131.8,221.2,38.7,271.5,58.5,10.29
393.2,460.3,56.4,630.5,93.8,35.37
231.3,23.8,60.1,656.4,19.4,44.83
184.3,365.9,45.8,143.5,21.6,7.69
180.5,201.1,67.0,761.3,69.7,7.57
88.4,397.9,69.7,528.0,47.8,25.84
276.0,360.6,63.0,288.1,64.0,16.12
159.0,179.7,57.9,472.6,42.5,6.66
230.0,25.6,35.6,605.4,87.3,53.99
367.9,270.1,70.4,669.6,49.0,40.46
291.6,435.8,55.4,786.5,33.7,13.46
382.4,314.5,76.9,112.9,61.4,34.92
158.5,100.7,34.9,631.3,37.2,24.67
100.9,360.4,75.3,382.7,23.5,33.7
83.8,487.7,57.9,759.6,20.9,12.28
316.2,119.1,56.3,599.1,63.3,20.27
213.2,22.7,57.8,538.4,67.2,48.3
175.1,96.7,45.2,468.2,60.0,16.92
268.1,44.4,62.7,373.3,20.3,30.73
395.7,117.7,58.2,277.4,57.7,49.02
391.4,459.7,59.7,305.4,18.2,43.7
210.9,208.4,66.1,285.9,72.6,9.87
478.5,281.8,51.1,103.8,41.9,90.73
118.5,209.3,63.8,767.6,33.7,12.57
128.4,247.1,47.9,709.2,60.1,13.41
295.5,143.4,55.4,114.1,39.0,13.08
107.6,455.4,46.4,718.8,66.8,5.0
232.7,166.4,43.3,614.8,26.1,14.98
171.6,362.6,57.2,420.8,14.2,8.78
125.6,486.7,40.0,302.2,94.4,13.08
82.1,454.1,44.4,629.7,43.3,23.34
442.8,279.7,52.7,275.2,69.7,62.94
106.0,479.7,65.4,510.6,75.2,13.19
71.9,129.7,46.6,787.2,80.8,28.18
431.9,36.5,51.5,202.9,54.1,80.55
285.3,130.8,32.8,642.2,23.1,24.51
489.1,122.0,41.8,153.0,62.7,106.51
440.8,137.5,65.1,659.9,39.6,66.83
104.6,43.5,36.4,445.1,52.5,38.0
74.6,95.7,49.7,648.7,72.7,36.98
333.7,290.9,42.3,658.5,39.2,20.12
258.8,497.1,57.5,773.0,99.0,5.0
111.6,232.6,63.0,211.8,95.3,19.1
116.8,372.4,45.4,704.2,38.9,19.12
138.4,72.4,42.9,688.6,47.4,23.72
412.6,25.9,32.7,726.1,70.6,93.82
67.9,324.0,67.3,494.2,42.8,27.28
287.4,346.1,76.1,654.8,32.5,21.72
305.3,140.6,72.8,201.0,48.4,27.09
59.6,261.2,39.1,209.4,17.1,28.45
399.9,490.5,57.3,446.4,32.5,36.19
234.3,104.7,59.8,679.7,73.9,7.69
155.6,406.8,40.1,720.4,95.0,5.0
395.6,75.1,30.2,257.0,86.5,65.94
201.0,253.5,54.3,174.3,89.3,7.28
391.0,104.2,36.2,648.2,100.0,62.29
166.6,223.2,79.4,608.3,61.8,15.43
389.5,448.4,41.6,779.5,77.4,50.35
452.0,260.8,39.3,725.4,40.8,66.54
314.1,292.7,35.2,438.7,75.4,27.64
489.4,457.3,68.7,682.4,72.2,88.45
364.4,112.1,50.1,408.3,70.8,30.16
171.5,397.9,64.4,644.5,45.3,9.15
322.4,248.9,53.4,106.0,96.6,19.21
219.0,45.5,36.1,432.2,25.4,27.72
79.6,184.5,42.1,535.4,89.1,28.72
381.4,199.3,57.3,231.7,74.3,37.08
283.0,47.8,63.6,200.9,66.3,38.08
268.7,71.2,51.3,779.1,57.5,10.86
203.1,190.4,37.7,646.3,48.7,14.86
209.9,69.4,58.6,423.8,45.2,21.95
408.6,375.3,44.0,141.7,48.1,53.91
138.2,296.3,76.9,297.7,82.6,10.9
355.9,236.2,65.7,457.6,78.5,29.62
76.5,210.8,56.5,223.5,29.4,18.7
489.3,293.7,39.0,328.3,44.6,98.85
205.0,58.2,42.7,778.0,17.1,11.8
489.0,384.2,30.6,143.9,70.9,92.96
94.6,363.4,54.5,112.6,60.2,15.31
405.3,127.1,59.0,506.1,14.8,58.14
100.2,439.8,32.5,172.9,19.0,25.23
292.0,375.0,76.3,533.4,66.0,17.41
197.3,166.3,58.2,287.3,90.0,6.35
464.9,279.3,39.7,617.9,72.9,81.52
435.9,19.2,51.2,351.4,12.8,114.88
133.1,138.4,75.8,228.7,60.0,18.4
100.8,271.0,52.0,366.9,35.9,14.39
156.1,265.1,40.2,146.1,18.3,12.02
114.8,189.4,59.3,365.5,13.2,13.62
177.3,353.4,51.7,777.8,24.7,5.0
219.3,209.0,75.5,526.6,61.3,26.14
264.9,320.3,35.0,379.5,84.5,19.44
219.1,201.0,49.7,108.2,43.8,23.03
379.9,236.9,39.4,775.4,31.4,52.08
55.9,90.8,32.6,769.5,93.7,41.08
262.0,170.7,48.8,690.1,50.3,9.26
376.8,310.6,33.7,645.2,65.6,43.62
58.0,103.3,30.5,335.2,69.5,46.79
348.4,233.2,37.0,314.3,17.1,34.7
238.9,486.6,66.5,353.0,39.4,18.06
435.5,478.9,62.3,108.0,29.3,56.08
260.8,70.9,35.2,379.9,43.4,30.45
279.1,19.3,76.3,701.5,15.9,71.73
388.0,151.7,53.7,188.4,74.5,41.39
419.5,158.2,64.4,332.2,69.7,52.0
382.9,358.6,52.9,114.1,71.7,39.53
59.2,121.8,77.2,715.3,37.0,43.99
430.5,428.8,65.3,345.5,70.0,56.3
212.4,254.6,49.1,712.9,26.6,5.0
207.5,28.3,53.5,746.6,32.0,38.51
203.0,419.1,36.7,111.1,71.0,12.61
261.3,177.7,42.6,795.4,51.5,12.53
132.7,58.0,35.8,753.0,37.9,34.56
280.0,112.7,31.0,660.5,68.3,28.82
56.4,443.3,71.1,337.4,67.6,30.35
181.9,251.9,67.3,281.1,27.7,7.61
315.6,70.9,67.9,134.4,29.5,39.11
244.8,191.6,78.2,246.7,17.8,26.14
322.8,452.6,61.0,353.2,99.1,21.57
478.3,302.7,58.9,426.5,45.1,91.7
367.2,121.8,55.4,294.6,71.3,34.11
297.5,258.1,48.7,154.5,40.2,10.51
440.9,81.7,52.5,471.1,54.0,78.68
109.2,358.5,58.5,667.7,73.5,9.85
119.0,262.1,47.3,113.2,58.3,17.94
94.9,297.0,57.0,751.2,29.5,20.87
322.0,488.7,43.2,449.2,24.4,24.87
230.5,84.6,47.6,650.1,71.7,15.73
426.6,99.5,50.1,324.8,65.4,70.13
328.3,145.2,46.9,693.1,15.6,29.39
478.4,471.6,40.9,400.9,80.2,82.63
398.5,55.3,60.5,447.5,70.2,56.9
280.0,31.1,74.3,758.3,49.5,46.15
391.3,11.0,75.0,607.4,12.6,136.19
393.3,449.9,56.0,478.4,21.9,38.48
474.0,483.9,50.6,586.5,26.6,80.69
443.3,252.7,73.8,196.5,33.5,78.49
218.4,391.4,49.9,756.1,49.9,5.0
494.9,67.7,65.0,334.2,72.1,102.8
372.7,87.2,35.5,230.0,43.9,46.58
109.8,55.5,79.2,353.6,66.1,44.08
242.5,147.2,53.2,589.9,79.4,5.0
78.5,288.0,37.3,748.1,50.5,26.86
74.2,433.6,38.0,398.2,76.3,27.74
327.2,107.3,44.0,761.6,13.1,30.03
353.4,54.1,60.5,112.6,90.9,40.58
372.5,433.8,77.2,387.0,44.3,45.27
278.8,233.5,60.1,415.4,57.5,5.0
189.3,417.3,37.3,237.6,90.1,8.76
484.8,167.2,43.9,375.0,10.4,97.23
223.6,133.7,79.6,366.3,88.8,23.97
180.6,140.7,58.7,481.5,40.4,6.27
200.3,292.8,30.8,205.1,49.4,20.52
173.3,380.1,31.2,211.4,58.5,20.59
227.3,248.3,38.7,564.4,34.7,14.39
478.2,390.5,68.6,667.3,49.0,95.72
67.4,318.1,45.9,162.2,67.3,33.08
201.3,32.9,71.7,233.4,79.7,35.53
252.3,179.3,60.0,344.8,52.7,5.0
79.4,72.0,32.1,108.3,24.3,49.9
351.3,385.0,58.6,522.0,35.0,26.12
305.5,285.7,39.8,611.6,81.5,18.67
205.9,224.5,64.9,731.9,12.8,5.0
212.8,65.2,45.8,600.7,24.5,19.53
133.1,462.9,55.5,567.2,49.2,5.0
416.3,278.0,50.1,666.6,62.1,43.18
353.0,230.6,45.3,525.6,31.8,41.45
53.8,245.5,60.1,183.7,35.2,29.01
239.0,485.4,78.1,258.1,82.0,17.04
100.7,286.5,68.5,206.2,38.5,13.65
59.9,477.4,33.5,508.2,42.2,33.83
463.4,102.6,66.0,761.3,38.6,83.63
450.5,71.0,73.6,166.7,69.2,92.31
395.9,394.9,32.0,249.8,35.4,50.55
255.3,95.8,47.6,221.4,24.0,22.28
103.3,165.2,52.5,631.1,81.5,16.66
369.9,213.6,66.7,597.5,86.2,35.4
100.7,89.8,34.2,720.9,56.6,26.51
466.5,489.5,58.7,644.2,46.4,66.65
188.4,13.5,40.4,785.8,65.7,85.44
221.4,291.4,55.1,560.9,10.9,7.18
151.3,453.6,67.8,758.1,12.0,6.9
181.8,228.7,36.9,274.8,27.5,8.64
331.8,279.2,41.7,786.1,57.3,34.48
419.8,324.0,50.3,431.5,35.0,45.95
471.4,218.5,63.2,648.3,23.6,78.17
436.3,255.1,67.7,502.6,48.5,56.69
358.3,160.8,50.3,333.4,49.1,33.51
199.5,414.6,72.3,638.7,35.6,13.02
496.0,366.3,76.2,782.1,20.7,102.59
448.3,456.7,47.7,269.8,32.3,72.86
373.9,67.9,59.8,630.9,57.5,49.53
264.5,63.8,58.2,606.9,87.9,20.89
252.1,275.5,64.9,668.4,90.6,13.05
438.5,206.7,44.8,788.3,45.7,60.42
415.1,206.9,64.8,131.0,23.2,57.86
217.8,394.1,44.6,429.8,68.7,5.0
178.6,395.8,37.5,510.3,36.6,6.6
482.2,333.2,70.1,564.1,64.4,88.45
171.0,335.7,38.7,184.1,39.7,15.55
192.2,228.0,67.2,742.1,92.3,10.87
334.9,433.9,78.0,249.4,48.0,29.98
111.5,471.8,49.8,423.9,77.6,8.32
218.3,336.5,55.2,400.8,64.2,6.65
251.0,355.8,59.3,662.5,78.5,6.8
481.2,249.1,36.3,304.1,54.9,85.73
295.1,248.6,77.5,653.8,73.7,28.19
357.0,406.5,56.7,144.6,42.6,28.24
215.4,349.2,31.8,772.6,47.3,23.19
374.2,471.4,57.6,398.3,14.8,30.23
370.4,416.3,33.8,216.9,17.5,42.26
423.3,382.3,52.4,202.9,50.7,59.98
499.6,26.5,32.1,192.4,35.5,134.54
456.9,409.6,38.1,501.2,43.9,77.43
498.7,429.3,65.5,648.1,91.7,94.43
181.4,282.3,40.3,310.1,47.3,6.27
487.3,391.3,46.3,452.2,35.3,88.27
455.7,284.0,56.4,668.4,16.3,67.2
228.7,460.9,54.7,233.5,38.9,5.0
159.9,316.3,75.2,627.7,81.2,14.6
111.6,273.3,57.3,734.4,81.3,6.05
411.7,386.3,30.8,623.4,14.2,63.94
250.4,86.7,56.2,525.1,88.6,19.12
427.8,272.4,55.4,784.5,33.1,58.12
96.8,305.5,66.1,338.8,94.9,16.73
116.9,498.2,76.6,634.1,27.9,20.36
494.9,485.2,52.7,588.2,13.6,85.67
222.3,440.3,48.1,458.5,66.2,5.0
466.7,401.5,58.9,567.8,32.8,82.64
499.1,319.8,50.8,377.1,26.7,91.15
441.0,105.9,34.4,202.7,36.5,81.46
358.3,307.8,76.2,646.0,59.5,25.38
210.9,370.8,60.4,313.3,10.5,5.0
392.9,310.9,59.2,132.1,96.8,44.55
336.1,199.5,37.5,799.4,28.3,25.83
77.8,246.0,35.1,253.6,41.5,32.89
217.0,406.1,79.0,584.6,66.6,8.66
88.6,283.3,48.7,409.1,23.5,14.37
486.1,334.8,56.0,777.6,95.7,85.49
354.2,337.9,36.5,396.6,83.1,35.4
285.7,424.7,43.9,261.0,32.7,22.1
192.1,297.6,75.2,608.5,15.5,7.09
319.0,194.2,37.4,309.8,12.2,35.18
454.3,143.2,68.3,794.8,88.2,67.98
102.0,487.2,49.1,477.7,24.0,13.2
274.6,378.2,65.0,210.9,47.2,9.27
168.1,263.2,48.0,418.0,54.3,7.99
181.5,143.1,77.2,633.8,55.6,13.49
427.5,16.3,65.7,159.0,68.6,121.57
400.9,484.7,38.1,375.7,53.0,50.89
298.5,159.7,51.0,206.6,99.6,18.61
318.0,331.2,52.8,523.5,54.7,16.88
170.8,61.7,70.7,537.3,24.5,22.9
390.5,275.1,74.9,268.4,69.3,46.28
432.4,289.0,75.1,281.8,49.7,55.41
435.4,152.8,32.6,675.7,32.6,80.03
436.6,499.9,63.9,265.1,95.4,64.1
267.8,225.3,57.9,341.7,88.7,10.7
259.7,106.4,69.8,250.9,10.6,16.3
374.5,33.9,54.5,142.8,82.6,62.78
391.1,418.3,65.1,582.9,72.1,45.01
265.5,212.2,73.9,251.9,70.9,14.82
414.2,495.1,41.7,136.7,78.3,61.94
333.0,217.8,56.8,428.3,24.3,37.56
288.5,55.7,67.8,139.8,16.7,40.48
201.0,318.0,75.0,193.6,24.1,5.0
444.1,383.7,51.9,523.4,97.8,67.94
82.1,262.7,45.5,256.8,52.9,21.17
321.2,298.2,77.9,609.2,56.7,31.83
96.9,101.3,36.4,159.7,75.0,29.86
50.2,138.0,50.8,308.8,36.9,23.68
456.6,217.2,71.4,474.6,17.9,82.18
237.1,287.1,34.8,492.0,73.3,9.82
149.7,162.2,41.6,552.4,86.9,15.9
148.5,484.9,35.8,482.6,86.7,22.08
445.0,211.9,36.9,736.8,15.9,73.62
165.8,183.0,47.3,714.4,73.9,5.0
155.7,128.8,78.9,517.4,98.9,25.35
298.2,230.4,66.0,789.4,87.3,18.13
403.9,210.7,79.9,714.4,86.3,53.1
410.1,377.5,43.7,517.9,54.2,48.52
380.0,258.9,53.7,795.0,28.4,37.6
381.9,36.3,30.2,438.5,98.6,71.65
454.1,436.7,33.6,275.8,46.3,79.28
481.9,79.3,38.7,451.2,88.2,104.55
204.2,411.2,39.4,734.7,83.6,15.11
221.3,23.3,49.7,655.9,88.2,34.39
309.1,486.0,58.7,753.1,83.4,23.72
337.5,172.7,45.7,462.7,82.5,34.34
182.5,138.3,63.0,624.8,80.1,11.02
89.8,125.4,73.7,743.8,81.3,40.98
344.8,104.6,52.8,178.2,36.3,32.61
312.2,373.6,46.5,360.9,36.8,18.15
416.1,330.4,59.2,591.8,90.0,48.74
171.8,361.3,56.0,531.6,27.2,5.0
83.9,292.4,72.3,322.1,48.3,28.62
240.3,247.7,69.7,467.0,44.9,10.71
388.4,205.7,73.0,750.9,98.9,45.67
419.6,445.3,71.4,614.2,83.1,47.45
225.3,287.6,37.7,333.6,95.2,18.54
234.7,439.3,38.9,765.1,63.0,9.65
81.3,306.1,38.5,155.9,59.2,28.76
300.8,197.5,34.7,197.8,70.5,21.87
352.4,480.5,36.6,317.7,96.2,40.02
360.5,36.9,63.6,798.5,93.3,54.88
384.3,262.2,72.9,480.7,80.6,41.29
56.0,108.1,76.6,642.4,54.6,36.91
77.1,244.0,35.4,652.9,25.4,25.68
394.8,253.1,43.2,570.6,30.3,63.09
273.0,197.4,61.1,491.9,54.0,13.32
397.0,326.9,53.2,519.1,81.6,47.06
431.0,179.3,36.6,253.9,54.3,69.72
420.0,256.4,56.5,237.5,78.0,50.14
491.8,100.8,76.0,300.8,37.7,109.4
309.4,194.7,79.0,273.7,47.0,38.82
256.5,170.4,41.1,297.1,69.2,12.56
440.2,360.0,72.7,679.0,37.9,63.37
446.7,213.7,69.8,319.5,63.1,79.76
144.9,329.8,57.9,128.4,15.3,5.26
195.3,84.4,46.5,758.2,85.4,15.76
333.8,186.1,58.9,523.6,34.4,25.26
259.8,14.8,42.2,554.5,56.3,70.11
425.0,24.5,48.6,390.3,26.3,86.63
128.0,109.8,75.3,799.0,57.1,23.65
499.7,99.0,56.5,169.4,23.0,100.23
97.8,191.1,58.8,614.5,84.8,13.57
477.7,139.9,60.9,470.5,71.7,88.53
473.4,271.0,73.5,370.9,80.7,90.65
117.9,119.8,60.9,282.8,72.0,24.04
430.6,496.9,78.1,443.3,20.7,64.56
68.3,379.2,54.9,575.2,75.6,12.97
419.6,385.4,31.5,402.4,11.3,64.59
293.4,414.8,73.2,269.3,89.2,18.54
347.0,164.4,45.1,164.1,28.3,26.37
341.4,46.3,74.1,201.1,44.0,47.12
486.2,392.9,43.3,208.5,49.9,90.91
373.9,156.7,44.9,525.5,55.9,47.2
283.4,289.1,68.4,214.1,25.8,20.61
355.5,253.9,67.7,777.0,58.4,35.76
433.8,124.6,64.1,453.5,47.0,72.98
497.0,241.8,69.3,772.4,72.3,99.05
220.2,81.3,78.7,313.8,98.6,21.48
330.4,408.2,37.6,704.1,39.5,39.3
351.8,222.6,64.9,469.2,23.0,26.41
481.4,27.2,54.7,681.7,91.8,109.23
380.8,391.0,45.3,353.3,59.8,42.22
180.5,230.6,44.5,694.7,90.1,8.77
177.6,437.5,40.5,671.1,86.7,28.83
334.2,130.8,69.7,589.0,85.3,32.2
366.9,129.8,79.4,338.7,55.8,49.26
354.3,450.9,57.0,252.7,76.0,28.32
446.1,248.1,58.5,481.6,86.8,63.92
494.0,114.4,51.6,149.0,29.1,96.66
258.5,223.1,72.2,437.8,72.1,12.82
198.7,292.2,53.2,344.2,30.3,8.03
458.5,179.4,34.2,747.6,31.8,82.17
103.2,374.0,43.8,765.0,75.5,24.04
346.5,328.1,60.7,192.6,47.1,30.69
459.5,297.9,69.6,491.9,23.4,73.21
473.1,97.7,79.4,696.3,47.9,95.24
379.3,311.5,48.2,285.3,79.0,44.11
396.2,134.7,54.8,118.4,12.3,46.17
224.8,307.6,47.7,113.3,19.5,17.43
88.6,148.0,69.3,490.6,90.2,31.28
69.1,42.5,68.4,650.0,94.7,42.07
72.0,277.4,54.7,323.6,37.2,26.6
421.6,196.4,42.7,748.3,99.0,52.14
491.9,88.9,43.3,656.3,52.5,97.5
439.7,497.9,35.9,623.6,59.9,65.7
416.3,458.0,33.9,317.7,84.6,47.52
464.7,148.5,74.8,718.4,42.0,86.16
196.0,474.2,52.8,114.2,97.1,5.0
97.2,307.0,36.6,658.9,13.2,19.29
114.3,93.8,35.4,103.7,65.3,29.39
394.1,385.1,32.6,494.9,21.4,50.52
496.3,204.4,35.4,698.6,37.9,103.0
426.6,50.2,53.4,197.9,59.9,73.64
319.5,387.0,62.7,325.8,49.5,24.85
462.0,283.9,46.1,148.2,94.8,71.72
204.1,263.5,75.3,291.2,66.0,8.55
100.0,92.1,38.4,623.4,19.5,31.39
298.4,235.2,57.2,194.0,65.0,18.06
362.9,309.8,43.0,501.2,53.7,36.77
58.3,58.5,75.4,580.3,85.6,41.72
376.0,389.2,39.0,616.6,34.9,45.08
122.8,47.0,56.4,121.0,66.3,22.01
425.1,58.3,68.5,461.0,78.7,70.04
441.9,24.9,49.0,690.0,70.2,105.38
234.8,495.6,40.8,198.3,36.2,9.17
464.3,151.4,36.1,684.8,19.3,101.83
88.6,336.0,61.6,231.8,47.2,22.66
485.7,133.0,56.7,548.6,28.4,94.96
292.9,433.4,45.2,117.4,97.2,18.94
215.5,430.6,64.9,263.1,10.5,5.89
330.8,225.5,33.2,159.3,76.7,36.57
50.4,132.0,72.9,127.2,93.1,47.09
318.4,42.4,41.2,656.3,21.0,43.4
462.1,64.2,62.7,451.0,50.3,91.36
264.4,48.8,70.0,520.0,42.1,31.23
457.7,210.8,54.6,499.5,55.8,69.14
79.5,266.5,45.3,586.6,65.2,12.96
344.9,76.7,65.0,557.9,42.8,37.92
160.5,132.2,75.3,789.2,92.9,27.69
443.2,393.6,41.7,333.4,17.0,66.53
221.5,163.5,57.5,654.6,96.8,5.0
76.3,245.8,36.2,246.1,44.9,25.08
328.3,464.1,75.0,239.1,92.4,30.16
239.4,478.6,67.9,497.8,97.7,15.96
236.8,328.4,68.2,243.8,19.1,11.27
381.4,153.9,71.9,522.9,83.3,50.74
75.3,221.7,51.3,279.7,66.4,11.76
489.4,240.4,52.3,173.9,34.6,94.41
244.6,418.6,37.8,604.0,41.9,22.65
382.1,143.2,68.2,199.6,93.3,51.51
486.3,314.2,52.3,290.6,58.1,87.43
288.0,390.5,39.7,461.9,23.2,20.73
121.0,46.8,55.7,103.8,24.8,25.35
274.6,416.2,60.3,726.6,18.9,29.6
155.9,321.1,49.9,614.7,60.9,8.78
331.7,18.2,47.2,727.2,25.3,76.09
142.2,476.5,74.7,761.0,33.4,9.85
73.4,235.0,68.9,187.5,39.6,20.43
309.7,281.2,54.2,372.0,59.6,18.56
116.1,223.7,30.9,670.6,93.3,27.09
343.2,245.7,43.0,163.6,38.5,32.84
489.5,245.4,64.9,770.4,27.0,85.61
107.9,336.2,30.6,223.7,90.4,27.13
350.1,257.3,45.1,311.3,29.1,19.09
97.8,161.6,50.9,353.7,80.7,9.32
196.5,314.2,61.7,798.5,36.0,10.61
50.4,341.9,31.4,288.6,55.5,27.85
115.3,397.4,66.8,446.3,76.4,12.9
478.5,235.0,48.1,607.7,18.7,86.88
289.3,270.8,60.3,579.1,18.4,19.98
119.6,272.5,59.5,540.3,36.1,18.75
286.5,120.6,57.4,156.9,62.7,8.49
88.5,140.6,47.1,196.7,30.5,28.32
78.9,393.0,48.0,505.7,31.1,19.47
352.3,62.9,34.5,705.6,48.7,39.27
136.0,113.6,65.9,205.5,37.4,18.7
220.1,302.2,38.8,263.8,78.3,16.71
227.8,266.6,67.5,519.1,94.9,5.0
498.9,113.8,57.5,768.7,27.9,103.68
325.3,483.0,71.2,311.1,86.3,24.72
368.5,295.6,49.4,602.7,74.5,24.19
283.4,191.3,71.5,732.1,53.7,19.56
373.8,201.5,50.2,230.2,82.9,31.93
137.3,162.1,47.8,198.4,94.1,14.62
342.8,41.5,64.0,476.4,68.2,46.93
113.7,305.9,34.4,573.4,43.8,28.28
185.4,295.5,32.3,794.1,51.5,17.2
344.1,63.2,45.5,428.6,25.8,43.08
488.1,24.3,31.6,139.9,79.4,130.06
102.5,92.9,63.7,400.4,81.8,26.46
124.3,312.7,58.2,702.7,94.5,17.07
323.7,116.6,69.2,646.7,84.9,38.0
486.3,235.2,68.9,324.1,72.1,94.83
241.9,163.7,64.5,496.2,63.3,15.37
491.9,284.7,68.7,606.3,76.9,92.6
473.2,450.9,78.9,435.9,97.5,84.54
325.0,195.5,77.7,356.4,73.3,28.59
155.3,417.1,57.8,385.8,66.0,11.76
292.3,105.7,56.9,655.9,87.9,12.8
123.6,387.8,51.7,720.6,37.9,6.45
212.8,57.4,62.8,220.3,76.9,30.25
489.8,488.1,52.4,312.0,58.3,83.5
344.7,39.3,76.7,696.8,72.4,55.32
233.8,123.5,73.7,599.0,21.4,22.8
327.3,308.5,62.8,106.0,28.4,23.03
63.4,13.3,69.7,658.2,43.6,106.13
188.7,496.9,38.9,667.4,76.5,5.0
242.8,464.1,32.4,499.3,48.2,15.95
155.7,81.6,60.0,502.2,49.7,19.39
342.8,188.3,57.8,665.5,78.2,28.18
171.0,357.3,60.0,629.1,25.1,5.0
72.4,176.1,79.6,657.6,20.9,39.97
77.9,361.0,64.7,430.9,45.0,26.93
471.1,316.8,67.8,174.0,79.6,82.05
181.1,490.1,37.6,363.4,50.0,8.68
384.1,297.8,67.5,445.8,31.2,49.28
374.9,458.7,40.3,169.7,22.3,42.99
190.4,225.3,30.7,447.1,73.0,17.3
335.8,115.2,67.7,152.2,69.9,35.2
476.9,148.3,74.8,644.1,81.1,88.51
451.2,376.8,44.9,293.3,47.6,70.84
305.6,384.5,52.6,321.3,62.2,17.42
236.1,311.4,30.4,344.6,64.8,13.47
441.8,271.1,55.9,126.5,75.2,66.52
277.2,261.6,32.8,577.9,32.4,17.47
62.1,419.9,52.3,513.0,47.5,24.65
