nozzle_temp_c,print_speed_mm_s,layer_height_mm,cooling_fan_pct,retraction_mm,print_quality
240.5,25.9,0.158,94.9,4.81,0.6931
228.7,65.9,0.292,88.4,3.69,0.7976
224.6,25.6,0.273,91.5,5.69,0.706
178.8,84.2,0.115,29.2,1.11,0.5822
229.5,99.9,0.182,11.9,3.4,0.5391
208.7,51.1,0.169,62.3,4.65,1.0
198.7,96.9,0.302,4.2,4.84,0.5279
214.7,60.2,0.388,91.3,3.72,0.7816
249.7,62.9,0.398,60.7,5.05,0.5769
212.4,88.7,0.217,62.6,5.77,0.7169
211.6,61.5,0.342,33.0,0.5,0.8731
185.5,94.5,0.239,68.9,6.85,0.6052
176.3,111.7,0.388,8.2,3.6,0.1562
218.6,49.1,0.116,69.8,2.87,0.8708
199.5,101.3,0.334,22.0,5.88,0.51
200.4,91.1,0.127,16.4,1.13,0.7161
218.0,22.1,0.347,15.8,0.7,0.7302
215.2,70.2,0.364,63.2,3.63,0.7692
170.7,79.3,0.273,60.9,3.35,0.5636
241.4,93.7,0.182,57.9,3.05,0.5436
227.3,102.6,0.241,26.1,4.16,0.5858
171.3,66.8,0.212,68.6,3.97,0.6367
197.5,113.7,0.175,56.6,5.64,0.4169
197.3,112.1,0.239,73.6,4.46,0.4853
229.0,85.9,0.238,49.4,6.33,0.7405
229.5,118.5,0.279,17.7,2.12,0.3202
219.8,107.6,0.27,0.3,4.69,0.3956
203.7,81.6,0.232,48.2,5.94,0.7735
240.7,104.8,0.29,23.8,1.7,0.3395
219.3,92.9,0.123,53.4,1.75,0.682
184.4,96.8,0.17,38.0,5.62,0.5369
225.4,43.3,0.217,34.1,2.66,0.8462
235.6,35.1,0.238,29.5,6.02,0.7607
214.7,49.4,0.214,61.4,3.95,0.9389
201.3,76.6,0.101,98.3,1.67,0.7743
219.7,97.1,0.328,62.8,6.92,0.5885
208.9,31.2,0.354,98.4,5.26,0.7702
194.3,92.7,0.357,11.0,7.44,0.5138
226.1,75.2,0.117,18.0,2.89,0.7865
229.3,65.9,0.153,49.9,5.04,0.8013
219.9,108.9,0.102,20.3,7.47,0.4966
227.9,66.9,0.394,78.6,3.86,0.7003
209.8,99.5,0.332,31.9,6.16,0.5644
246.7,35.3,0.201,14.3,6.01,0.578
231.4,32.3,0.379,5.8,3.08,0.669
227.3,46.7,0.14,94.1,2.32,0.8301
212.6,107.8,0.235,49.2,1.95,0.5126
233.3,40.2,0.192,98.5,3.94,0.7431
245.0,90.1,0.12,0.4,4.5,0.3952
179.5,88.0,0.133,14.5,7.1,0.5508
242.4,51.5,0.164,71.6,5.78,0.7314
191.1,20.9,0.166,73.9,3.14,0.7548
184.0,36.4,0.283,27.2,4.58,0.7182
235.6,114.8,0.232,86.0,0.84,0.3006
178.8,37.6,0.39,91.3,4.55,0.6499
192.8,106.5,0.329,3.8,7.02,0.3984
172.7,101.6,0.245,33.8,3.85,0.3718
229.8,74.8,0.334,42.8,7.97,0.6943
186.4,26.1,0.369,50.5,5.74,0.67
245.6,56.8,0.114,73.6,3.35,0.6332
207.4,44.5,0.361,64.7,1.82,0.8388
233.2,55.7,0.31,6.7,0.92,0.7358
172.9,49.8,0.393,80.9,6.22,0.513
180.4,73.0,0.332,23.4,0.83,0.6394
185.2,28.3,0.25,67.8,1.92,0.7335
173.7,29.8,0.212,59.4,5.94,0.6834
235.3,82.5,0.264,34.4,7.54,0.6536
185.4,53.5,0.284,99.1,4.32,0.75
174.5,109.0,0.136,17.8,4.8,0.2307
186.7,91.8,0.107,0.6,2.39,0.4903
197.8,85.0,0.119,35.8,4.43,0.7585
217.8,110.4,0.167,84.6,3.41,0.4812
184.7,115.2,0.211,38.2,1.76,0.3646
191.5,117.9,0.16,80.0,4.25,0.3623
184.3,47.5,0.314,49.9,4.55,0.8001
192.2,71.5,0.316,48.6,3.1,0.83
191.0,38.1,0.247,65.8,6.07,0.8571
205.8,102.0,0.341,10.5,7.57,0.4916
217.3,30.4,0.193,30.6,6.62,0.8563
173.4,26.5,0.134,30.4,6.78,0.6291
187.4,33.7,0.394,51.1,5.03,0.6973
175.1,116.3,0.181,52.4,3.8,0.2346
207.6,67.3,0.245,77.6,6.7,0.8514
216.1,104.8,0.371,21.4,0.73,0.4945
223.7,109.1,0.138,38.0,2.82,0.4946
205.8,88.5,0.296,71.1,6.51,0.7263
188.0,40.8,0.355,22.0,1.11,0.7782
220.9,50.5,0.281,72.3,3.61,0.9206
241.1,103.8,0.377,58.4,1.98,0.3491
210.4,117.3,0.165,17.7,3.47,0.3746
241.5,66.8,0.318,14.6,0.98,0.6397
221.8,101.1,0.396,22.4,0.88,0.4499
219.8,114.7,0.309,18.7,4.06,0.3508
232.5,34.2,0.194,8.9,0.75,0.7637
230.9,63.8,0.141,19.4,1.74,0.7582
234.3,53.7,0.3,82.2,5.51,0.789
194.6,62.8,0.333,82.3,5.0,0.8189
185.4,118.3,0.301,32.0,1.37,0.2669
179.5,74.2,0.189,98.4,1.53,0.6965
229.3,68.1,0.252,5.8,6.07,0.6697
193.0,69.0,0.127,94.5,3.63,0.7823
214.5,46.5,0.284,8.9,0.91,0.7945
217.0,45.9,0.262,64.3,4.91,0.9414
227.7,44.9,0.267,50.7,5.61,0.7763
187.8,106.7,0.238,42.5,0.63,0.5301
241.4,80.6,0.229,41.0,1.81,0.6111
229.7,32.2,0.159,28.7,7.04,0.7581
197.2,80.7,0.192,55.5,3.0,0.7933
212.0,42.4,0.373,21.5,0.86,0.8316
222.7,36.3,0.276,80.9,4.02,0.8586
235.0,56.7,0.361,14.4,1.14,0.6987
204.4,118.9,0.168,65.7,4.42,0.3485
203.5,54.7,0.235,75.9,7.48,0.8893
198.2,95.5,0.146,54.1,7.77,0.6614
216.7,91.1,0.348,28.5,4.0,0.6473
249.8,82.7,0.306,8.1,2.93,0.4456
186.0,72.3,0.2,90.0,4.65,0.7422
239.1,83.8,0.174,47.0,4.81,0.6574
239.0,70.7,0.311,37.5,7.41,0.6791
217.6,93.2,0.344,59.3,2.02,0.6831
233.7,116.5,0.392,34.6,6.2,0.2411
179.2,45.0,0.2,79.0,3.87,0.7595
174.2,57.0,0.131,97.9,6.37,0.6402
190.2,106.0,0.298,19.2,5.55,0.4165
215.3,97.0,0.286,93.1,1.63,0.616
223.2,119.0,0.305,78.5,3.07,0.3436
183.9,115.9,0.315,95.9,4.73,0.2173
214.2,63.9,0.119,87.2,7.36,0.8135
222.2,85.5,0.388,48.3,5.51,0.6752
174.9,24.0,0.23,88.6,1.6,0.6361
218.7,42.0,0.137,40.6,6.21,0.9046
178.6,68.4,0.118,89.2,1.98,0.7369
177.9,33.5,0.329,12.1,6.97,0.6106
229.9,111.6,0.227,7.5,2.15,0.3102
242.8,108.9,0.397,32.2,6.32,0.2244
187.5,56.4,0.283,93.7,5.74,0.7463
221.6,90.3,0.221,42.8,5.7,0.686
247.4,89.9,0.342,29.5,1.13,0.4533
179.3,22.8,0.194,44.0,6.44,0.6465
189.8,30.3,0.262,71.8,5.69,0.7929
203.7,69.3,0.225,12.9,3.45,0.8596
171.6,72.7,0.359,86.8,2.57,0.5476
209.5,22.2,0.293,0.8,2.75,0.7317
201.5,81.5,0.299,35.5,7.42,0.7606
239.1,97.6,0.289,54.6,5.06,0.5281
203.0,69.0,0.226,71.7,1.5,0.8722
179.3,48.5,0.219,74.4,4.61,0.7324
247.9,92.8,0.182,48.7,1.53,0.5133
184.0,98.2,0.135,39.7,0.65,0.5894
234.0,44.2,0.227,68.0,1.97,0.8576
249.7,93.9,0.392,20.5,6.45,0.2936
196.1,80.4,0.279,33.3,6.67,0.7331
209.7,92.9,0.213,66.8,2.51,0.7463
191.8,35.8,0.126,79.1,1.12,0.87
172.1,24.2,0.129,96.4,4.53,0.5946
202.2,56.5,0.293,22.5,7.88,0.8057
176.6,55.4,0.389,73.2,1.99,0.6455
216.3,35.7,0.238,73.1,2.1,0.8776
206.3,114.6,0.309,45.8,6.84,0.3775
212.3,104.2,0.332,98.3,6.08,0.4886
216.7,62.0,0.179,33.9,6.32,0.8589
232.6,48.7,0.189,21.1,5.12,0.7734
248.1,103.5,0.279,87.7,4.76,0.3199
188.2,92.3,0.121,41.0,7.57,0.5443
207.8,33.2,0.288,85.0,1.27,0.8491
245.2,105.9,0.187,75.3,1.8,0.3383
172.3,81.0,0.381,20.7,4.99,0.4509
225.9,94.7,0.346,64.0,7.9,0.5837
178.7,73.5,0.126,19.2,2.26,0.6161
234.6,77.3,0.236,98.2,1.07,0.6991
217.6,118.2,0.127,89.9,3.23,0.3116
243.9,83.4,0.3,93.6,0.53,0.6008
188.4,92.2,0.19,87.0,0.53,0.6254
224.6,29.8,0.147,3.0,5.21,0.748
238.6,87.8,0.324,45.4,1.31,0.6045
171.2,96.4,0.394,87.5,1.88,0.3533
180.2,76.4,0.325,92.8,5.09,0.6115
211.3,78.9,0.252,57.9,7.35,0.8047
205.4,53.8,0.263,81.8,2.42,0.8622
227.7,115.4,0.383,1.8,1.54,0.2362
223.4,36.6,0.397,12.2,2.67,0.7139
184.5,61.4,0.262,69.6,2.45,0.8675
227.9,60.9,0.371,61.8,3.59,0.7601
228.6,111.7,0.197,91.6,6.76,0.3849
232.7,20.2,0.396,28.6,3.93,0.6317
246.9,26.1,0.277,5.0,1.09,0.5486
220.2,42.3,0.147,7.9,5.42,0.8048
203.9,98.7,0.103,97.9,7.52,0.5312
199.7,20.4,0.398,14.8,0.71,0.6938
226.4,116.8,0.307,24.4,6.13,0.3458
188.7,63.5,0.179,44.4,4.59,0.8384
183.6,31.0,0.396,56.7,7.35,0.6358
214.3,67.5,0.13,3.9,0.52,0.7804
214.4,35.8,0.364,97.8,7.85,0.7849
219.2,56.0,0.248,18.3,3.78,0.8567
235.1,62.7,0.347,94.0,2.45,0.7432
177.3,44.5,0.279,52.4,1.0,0.7369
183.4,116.1,0.175,62.7,4.98,0.3548
199.1,36.6,0.341,74.1,2.25,0.8274
179.1,34.4,0.395,20.4,4.57,0.602
171.6,37.0,0.299,77.9,7.34,0.5885
242.6,79.2,0.359,11.7,5.53,0.4778
234.7,64.1,0.145,44.6,3.09,0.7896
248.9,72.6,0.142,52.4,5.67,0.5526
217.2,38.3,0.193,2.3,5.06,0.8046
220.6,95.4,0.392,67.4,5.92,0.5654
228.8,37.0,0.324,74.3,0.9,0.7842
230.7,106.7,0.233,63.2,3.19,0.4772
246.1,103.0,0.232,97.0,7.08,0.3377
231.3,67.5,0.311,28.8,1.36,0.7282
192.7,92.8,0.257,69.1,2.53,0.6872
188.5,104.6,0.392,51.8,4.65,0.4012
208.1,63.4,0.328,88.8,6.04,0.7827
243.0,89.1,0.243,97.1,4.41,0.57
178.5,97.9,0.151,81.3,0.58,0.4959
172.9,74.0,0.177,39.3,0.57,0.6283
211.8,76.3,0.17,14.4,3.51,0.7671
174.0,56.6,0.107,23.3,5.58,0.629
210.9,33.7,0.205,11.4,4.27,0.8587
241.0,115.1,0.163,63.0,1.97,0.2891
190.2,98.3,0.393,93.2,4.91,0.4145
203.4,104.2,0.302,60.5,0.82,0.5637
170.9,73.3,0.263,25.0,2.21,0.5887
214.3,50.0,0.397,27.0,7.89,0.7744
192.9,118.5,0.267,69.1,7.33,0.3239
174.4,42.2,0.117,4.4,3.92,0.5953
209.0,65.9,0.119,92.8,1.45,0.7912
189.0,88.9,0.318,80.9,6.68,0.6317
234.3,45.4,0.382,78.1,3.43,0.7724
193.4,90.1,0.287,95.7,0.81,0.6388
228.9,33.9,0.302,93.0,5.51,0.79
235.3,110.9,0.122,65.2,6.58,0.3847
204.2,86.5,0.274,56.0,1.41,0.7462
172.0,92.3,0.237,13.1,7.59,0.3904
214.7,22.9,0.204,65.3,6.63,0.8176
210.3,105.0,0.389,48.4,6.4,0.5057
234.4,60.9,0.157,5.3,3.91,0.6995
197.6,110.1,0.102,36.8,7.23,0.4521
181.3,103.9,0.366,7.1,1.63,0.286
176.3,94.3,0.242,60.8,2.2,0.5161
244.0,24.4,0.366,39.5,5.89,0.5722
246.7,100.9,0.218,18.7,4.43,0.3248
219.0,81.0,0.15,32.7,1.54,0.8087
210.5,118.7,0.26,99.8,3.48,0.3572
246.1,44.4,0.373,83.7,5.06,0.5908
239.2,76.7,0.172,0.4,2.52,0.6202
246.6,48.3,0.369,60.3,6.16,0.6499
178.5,84.4,0.398,44.7,7.91,0.5088
232.1,26.6,0.125,23.0,1.79,0.7476
206.9,77.0,0.301,2.5,7.15,0.6629
189.5,109.1,0.252,63.5,0.71,0.4253
180.4,101.8,0.185,52.8,5.01,0.4628
192.1,94.9,0.183,2.5,2.23,0.5515
220.4,33.6,0.355,2.2,3.77,0.7042
233.0,104.9,0.191,50.1,6.8,0.4513
196.2,66.1,0.36,50.4,5.63,0.7698
218.7,31.3,0.244,7.3,3.02,0.7958
241.5,34.3,0.135,95.7,7.49,0.6496
173.4,91.5,0.344,49.9,3.33,0.431
240.6,32.3,0.363,33.4,5.15,0.6448
233.0,35.9,0.213,33.0,3.97,0.8488
221.9,117.4,0.385,34.8,0.6,0.2954
191.6,76.4,0.374,89.4,3.22,0.692
170.1,43.5,0.206,97.0,2.56,0.6443
241.3,64.8,0.39,46.6,4.81,0.5851
238.9,53.3,0.352,50.5,5.21,0.6922
248.8,50.5,0.381,55.6,2.57,0.5764
246.1,119.8,0.219,9.7,3.65,0.0917
225.9,118.9,0.162,56.3,6.22,0.3392
193.9,56.5,0.17,38.6,7.82,0.9035
172.5,119.1,0.216,17.8,0.58,0.1636
220.4,57.9,0.377,26.3,6.14,0.7785
190.7,113.1,0.165,54.6,4.89,0.4395
170.7,119.5,0.29,18.3,6.14,0.0476
226.7,111.0,0.294,13.6,3.57,0.4323
208.1,64.2,0.117,54.0,0.83,0.9074
224.7,54.3,0.144,34.9,3.45,0.8766
212.0,85.4,0.159,41.3,1.68,0.7852
225.0,89.6,0.346,70.0,4.14,0.6373
216.0,111.5,0.125,79.9,5.3,0.4328
211.1,80.8,0.32,76.3,4.61,0.7348
230.2,69.7,0.19,56.3,2.59,0.8657
200.9,76.8,0.339,67.0,1.06,0.7887
210.5,79.2,0.319,94.1,4.47,0.8045
214.7,48.1,0.18,17.0,6.69,0.8531
181.7,87.4,0.188,75.1,3.18,0.6554
180.9,63.6,0.325,70.5,2.43,0.6888
175.7,23.7,0.369,70.0,1.23,0.5564
210.4,92.3,0.179,0.4,5.95,0.5802
185.7,98.8,0.391,47.9,7.89,0.4525
177.1,118.9,0.378,74.7,6.12,0.1221
210.4,31.6,0.382,50.0,6.04,0.794
199.4,107.7,0.4,0.2,3.65,0.3296
233.2,32.1,0.351,95.8,3.26,0.6949
229.7,104.4,0.365,69.7,5.38,0.4099
202.9,39.4,0.237,21.7,2.45,0.8346
216.8,24.0,0.302,70.0,5.75,0.8175
196.2,70.5,0.175,43.9,2.8,0.8034
208.2,43.6,0.256,17.4,7.0,0.8574
216.3,38.2,0.213,43.9,4.89,0.8458
211.4,73.2,0.277,28.3,5.44,0.7995
190.6,74.2,0.231,99.2,7.37,0.672
201.8,61.1,0.29,36.4,2.06,0.8849
170.2,85.7,0.263,20.9,2.19,0.4839
196.3,57.0,0.347,87.9,3.8,0.7272
185.1,54.6,0.377,26.8,4.07,0.7185
222.8,54.6,0.34,87.7,7.23,0.8234
230.8,56.0,0.264,54.0,1.12,0.8669
226.2,106.2,0.378,0.3,7.35,0.289
193.1,54.0,0.166,78.3,0.69,0.8982
211.8,62.5,0.114,51.9,1.82,0.8836
227.5,32.8,0.319,5.9,2.29,0.7476
197.0,47.9,0.31,93.7,3.64,0.8397
207.9,104.2,0.275,64.8,1.23,0.6038
174.2,33.6,0.277,83.7,1.33,0.6499
190.7,96.0,0.334,56.1,4.09,0.5614
221.0,64.5,0.363,87.0,3.36,0.8118
225.5,116.6,0.339,25.9,6.27,0.3072
240.6,39.9,0.156,42.1,3.37,0.7003
173.8,74.1,0.127,97.7,5.27,0.5171
249.6,58.2,0.397,39.9,6.45,0.5545
174.8,43.5,0.222,4.2,5.38,0.6299
220.7,30.0,0.228,60.8,5.65,0.8726
209.9,82.4,0.349,35.8,1.83,0.7163
183.2,60.6,0.338,28.6,4.79,0.6644
173.5,106.1,0.214,14.5,4.49,0.2718
230.2,79.0,0.384,15.0,3.5,0.6139
200.5,47.8,0.28,14.5,7.89,0.8246
221.3,108.1,0.148,38.0,6.87,0.5143
249.8,81.5,0.212,63.5,7.12,0.504
197.4,71.9,0.112,28.9,6.71,0.75
205.4,31.8,0.343,67.5,6.02,0.7594
191.8,46.1,0.237,11.9,5.01,0.8002
182.5,103.6,0.181,3.3,0.98,0.4327
230.2,109.7,0.294,27.0,4.65,0.4316
189.7,118.5,0.146,91.0,3.93,0.3709
212.7,55.8,0.209,4.8,3.78,0.8343
184.5,87.4,0.306,41.5,2.91,0.6428
171.5,100.2,0.163,58.7,0.87,0.4138
190.3,63.6,0.117,48.0,0.97,0.8865
178.4,32.8,0.31,37.6,5.63,0.6528
175.2,65.4,0.246,99.1,3.51,0.6118
225.7,50.8,0.247,75.0,7.92,0.8493
213.5,37.3,0.226,1.9,4.31,0.8251
177.9,29.7,0.189,1.9,6.58,0.5873
237.3,41.2,0.184,78.2,2.74,0.7634
234.6,109.9,0.363,20.5,4.19,0.2692
202.1,98.5,0.394,96.7,3.85,0.5251
205.6,60.3,0.371,19.8,2.13,0.8283
203.0,95.5,0.215,5.4,7.25,0.5831
178.4,51.1,0.281,96.1,7.75,0.7001
239.3,60.5,0.23,49.8,1.86,0.7005
185.9,98.3,0.283,11.8,2.3,0.5013
243.0,26.8,0.19,5.2,2.54,0.6012
225.6,56.8,0.157,85.4,4.57,0.8064
207.1,101.6,0.202,42.3,1.44,0.6392
237.4,40.9,0.269,54.7,0.96,0.783
178.3,38.9,0.27,91.4,3.83,0.7323
184.5,77.0,0.12,2.4,3.73,0.6176
224.5,37.9,0.358,66.8,2.52,0.7969
196.6,30.7,0.237,71.2,7.98,0.8359
240.3,93.2,0.105,52.4,1.03,0.5763
211.9,115.2,0.254,79.6,6.4,0.4338
183.9,56.6,0.341,6.5,5.46,0.6979
214.3,112.5,0.164,67.2,0.99,0.5292
210.4,85.6,0.106,99.6,3.2,0.7031
228.9,62.1,0.282,28.4,5.37,0.774
180.9,23.3,0.349,98.4,7.56,0.5226
198.4,22.2,0.252,34.9,7.28,0.831
201.0,100.0,0.327,78.1,5.6,0.5879
237.8,115.3,0.292,86.7,2.16,0.3338
223.6,120.0,0.246,53.0,5.77,0.2948
243.3,67.9,0.294,79.2,2.92,0.6411
178.4,109.0,0.109,15.8,7.37,0.305
186.1,54.9,0.4,46.7,5.73,0.6975
238.8,30.2,0.364,80.6,3.33,0.6661
174.6,97.8,0.147,73.4,7.82,0.4673
185.2,91.1,0.157,74.7,6.61,0.5938
208.2,111.4,0.354,26.1,5.02,0.3607
224.8,95.2,0.212,10.7,3.38,0.605
192.1,66.2,0.221,93.1,4.97,0.8324
245.9,45.5,0.274,86.2,2.33,0.6481
220.7,87.8,0.154,84.7,5.08,0.6877
188.9,32.7,0.284,19.2,7.99,0.7182
224.7,44.6,0.379,85.3,7.23,0.7669
198.0,37.3,0.372,84.1,5.38,0.7681
216.2,46.9,0.149,75.3,1.17,0.9241
219.8,95.5,0.121,71.7,7.65,0.6338
203.5,27.6,0.138,2.4,7.93,0.7288
240.9,51.1,0.168,26.2,7.11,0.7057
196.9,85.5,0.248,13.5,6.06,0.6636
231.8,49.7,0.141,80.2,5.2,0.79
229.8,111.3,0.109,39.4,1.05,0.438
240.0,111.8,0.302,4.6,5.89,0.253
170.6,44.0,0.118,42.5,3.9,0.5925
189.9,94.4,0.206,98.3,4.32,0.6251
199.7,74.7,0.182,63.3,2.61,0.7382
233.2,84.3,0.166,87.1,6.08,0.6451
242.7,91.5,0.302,14.7,4.2,0.4569
176.6,87.5,0.159,48.0,5.21,0.5772
195.7,30.5,0.362,39.2,1.97,0.7885
219.8,98.8,0.101,67.7,0.72,0.5915
208.1,109.1,0.311,13.2,6.58,0.4364
243.5,103.0,0.117,53.9,7.06,0.3762
187.9,106.9,0.205,46.4,2.56,0.5457
179.4,67.4,0.124,83.3,5.46,0.74
199.9,29.4,0.344,15.5,3.21,0.7518
200.3,47.7,0.308,36.8,7.28,0.8422
182.0,67.7,0.388,70.1,6.48,0.624
201.1,51.0,0.364,83.1,4.49,0.8694
202.9,108.9,0.124,3.0,6.23,0.4217
187.3,42.5,0.178,9.3,1.72,0.7601
242.9,52.0,0.332,31.6,7.49,0.6218
228.6,27.0,0.395,15.7,1.09,0.653
210.4,46.6,0.384,35.6,3.91,0.8119
185.0,20.4,0.296,8.4,1.31,0.6368
186.3,119.7,0.4,49.4,7.24,0.1826
174.4,82.9,0.153,78.5,4.03,0.574
225.8,24.6,0.215,52.4,3.75,0.7718
205.8,68.2,0.277,81.0,1.44,0.8135
227.7,72.0,0.188,68.6,4.34,0.8137
244.2,88.5,0.199,57.4,2.62,0.5558
183.8,86.1,0.335,96.5,4.36,0.524
249.9,58.9,0.352,42.9,7.65,0.5767
188.3,33.9,0.235,11.0,6.64,0.675
188.5,65.9,0.181,40.2,2.51,0.81
234.8,42.8,0.203,89.8,1.38,0.7952
178.1,42.0,0.214,80.4,7.89,0.7549
233.5,88.0,0.33,32.8,2.98,0.6167
180.2,45.8,0.314,97.7,7.39,0.6871
185.0,66.6,0.105,77.7,7.52,0.7281
211.3,39.8,0.269,87.1,3.58,0.876
229.1,47.8,0.353,68.8,5.43,0.7473
243.8,46.2,0.122,95.0,2.19,0.6993
206.9,92.0,0.183,97.0,2.2,0.6926
216.8,84.7,0.101,26.6,1.21,0.7225
247.6,102.0,0.334,18.2,7.7,0.2417
175.1,55.1,0.126,38.3,7.34,0.7095
248.8,62.9,0.24,72.9,4.23,0.6381
184.0,100.3,0.117,55.7,5.46,0.5176
203.0,29.6,0.263,64.7,1.95,0.8862
203.2,76.0,0.368,23.2,3.63,0.7559
199.5,44.7,0.248,65.2,7.29,0.8228
245.1,74.3,0.322,98.4,5.82,0.5595
236.4,98.6,0.104,63.6,3.57,0.4767
180.3,43.3,0.311,72.7,3.34,0.75
186.5,94.0,0.244,69.3,3.94,0.6094
173.5,39.2,0.12,72.9,1.77,0.6938
199.9,86.6,0.248,79.0,5.05,0.7652
228.7,116.9,0.27,78.0,2.6,0.3424
185.1,37.7,0.242,27.8,6.26,0.7812
219.7,24.4,0.235,29.8,1.86,0.7975
210.3,52.9,0.213,42.9,4.33,0.8861
245.6,26.0,0.329,23.6,2.78,0.6107
245.2,106.6,0.252,34.8,4.54,0.3263
170.8,78.7,0.187,39.4,5.6,0.5739
190.1,47.9,0.303,9.7,4.76,0.7267
232.7,66.9,0.149,68.6,5.51,0.7473
231.3,47.2,0.3,45.1,1.16,0.8594
246.6,57.5,0.288,84.0,5.11,0.6298
181.0,64.3,0.363,51.3,7.33,0.6794
205.1,62.5,0.395,42.0,1.63,0.7571
178.5,40.9,0.178,20.1,4.11,0.7105
242.2,46.9,0.128,0.1,1.65,0.6586
174.8,32.0,0.394,29.8,1.01,0.5655
232.1,55.4,0.278,95.3,1.99,0.7652
224.0,77.6,0.132,0.4,7.57,0.6779
227.0,21.0,0.272,83.7,6.82,0.776
227.4,42.5,0.102,22.1,2.6,0.7864
209.1,32.5,0.222,16.4,4.62,0.7935
202.9,65.2,0.287,99.0,0.52,0.7743
193.0,23.1,0.235,5.9,7.7,0.6763
204.3,102.1,0.244,20.3,2.41,0.5939
209.9,41.3,0.304,60.8,6.39,0.8422
183.4,55.7,0.167,8.7,4.94,0.7225
197.8,77.5,0.216,64.4,1.23,0.8247
177.7,32.9,0.118,15.8,3.81,0.631
207.3,110.4,0.195,66.7,3.8,0.5458
184.0,69.4,0.321,58.9,0.61,0.7441
177.6,30.6,0.311,30.9,1.05,0.6618
249.6,98.3,0.24,10.1,7.34,0.3062
183.3,38.2,0.162,48.4,7.15,0.7538
197.4,118.4,0.3,78.2,1.17,0.4025
203.3,44.0,0.207,60.8,4.01,0.9472
245.5,88.1,0.267,70.3,2.23,0.513
224.5,65.3,0.102,46.5,3.28,0.8003
186.8,65.3,0.108,42.9,3.32,0.7516
173.2,48.3,0.18,61.7,2.42,0.6902
209.8,61.9,0.221,74.9,3.49,0.8821
236.7,63.4,0.182,4.8,2.41,0.7327
209.2,35.3,0.104,97.2,2.23,0.8218
220.5,48.2,0.15,7.4,2.06,0.7985
246.5,42.7,0.16,94.4,2.11,0.6501
217.5,116.7,0.128,72.8,3.62,0.3893
247.6,104.4,0.396,16.9,2.88,0.2437
229.5,88.9,0.122,46.9,2.68,0.664
213.1,26.9,0.212,65.8,5.75,0.8296
205.5,69.1,0.398,65.3,7.0,0.7296
246.4,111.6,0.331,83.8,2.65,0.2079
214.4,20.2,0.388,29.0,0.6,0.7232
243.9,89.4,0.234,64.1,2.71,0.5669
188.0,106.0,0.217,77.9,1.17,0.5019
